year,page_id,page_name,archive_url,image_path,ocr_source
1990,086,b.1990-12.086,http://archive.radio.ru/web/1990/12/086/,.tmp/archive_radio_ru/1990/12/b.1990-12.086.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1990-12/ocr.1990-12.086.txt
1990,087,b.1990-12.087,http://archive.radio.ru/web/1990/12/087/,.tmp/archive_radio_ru/1990/12/b.1990-12.087.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1990-12/ocr.1990-12.087.txt
1990,088,b.1990-12.088,http://archive.radio.ru/web/1990/12/088/,.tmp/archive_radio_ru/1990/12/b.1990-12.088.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1990-12/ocr.1990-12.088.txt
1990,089,b.1990-12.089,http://archive.radio.ru/web/1990/12/089/,.tmp/archive_radio_ru/1990/12/b.1990-12.089.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1990-12/ocr.1990-12.089.txt
1990,090,b.1990-12.090,http://archive.radio.ru/web/1990/12/090/,.tmp/archive_radio_ru/1990/12/b.1990-12.090.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1990-12/ocr.1990-12.090.txt
1990,091,b.1990-12.091,http://archive.radio.ru/web/1990/12/091/,.tmp/archive_radio_ru/1990/12/b.1990-12.091.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1990-12/ocr.1990-12.091.txt
1991,083,b.1991-12.083,http://archive.radio.ru/web/1991/12/083/,.tmp/archive_radio_ru/1991/12/b.1991-12.083.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1991-12/ocr.1991-12.083.txt
1991,084,b.1991-12.084,http://archive.radio.ru/web/1991/12/084/,.tmp/archive_radio_ru/1991/12/b.1991-12.084.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1991-12/ocr.1991-12.084.txt
1991,085,b.1991-12.085,http://archive.radio.ru/web/1991/12/085/,.tmp/archive_radio_ru/1991/12/b.1991-12.085.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1991-12/ocr.1991-12.085.txt
1991,086,b.1991-12.086,http://archive.radio.ru/web/1991/12/086/,.tmp/archive_radio_ru/1991/12/b.1991-12.086.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1991-12/ocr.1991-12.086.txt
