 2.66072506e+02  2.66072506e+02  0.00000000e+00 -2.03814136e-01 -1.64035769e-01 
 2.81838293e+02  2.81838293e+02  0.00000000e+00 -2.17922691e-01 -1.73566728e-01 
 2.98538262e+02  2.98538262e+02  0.00000000e+00 -2.33698378e-01 -1.83627775e-01 
 3.16227766e+02  3.16227766e+02  0.00000000e+00 -2.51331036e-01 -1.94244085e-01 
 3.34965439e+02  3.34965439e+02  0.00000000e+00 -2.71030351e-01 -2.05441246e-01 
 3.54813389e+02  3.54813389e+02  0.00000000e+00 -2.93027491e-01 -2.17245107e-01 
 3.75837404e+02  3.75837404e+02  0.00000000e+00 -3.17576772e-01 -2.29681599e-01 
 3.98107171e+02  3.98107171e+02  0.00000000e+00 -3.44957320e-01 -2.42776511e-01 
 4.21696503e+02  4.21696503e+02  0.00000000e+00 -3.75474688e-01 -2.56555237e-01 
 4.46683592e+02  4.46683592e+02  0.00000000e+00 -4.09462375e-01 -2.71042463e-01 
 4.73151259e+02  4.73151259e+02  0.00000000e+00 -4.47283193e-01 -2.86261823e-01 
 5.01187234e+02  5.01187234e+02  0.00000000e+00 -4.89330404e-01 -3.02235492e-01 
 5.30884444e+02  5.30884444e+02  0.00000000e+00 -5.36028538e-01 -3.18983735e-01 
 5.62341325e+02  5.62341325e+02  0.00000000e+00 -5.87833800e-01 -3.36524400e-01 
 5.95662144e+02  5.95662144e+02  0.00000000e+00 -6.45233949e-01 -3.54872364e-01 
 6.30957344e+02  6.30957344e+02  0.00000000e+00 -7.08747533e-01 -3.74038935e-01 
 6.68343918e+02  6.68343918e+02  0.00000000e+00 -7.78922360e-01 -3.94031216e-01 
 7.07945784e+02  7.07945784e+02  0.00000000e+00 -8.56333069e-01 -4.14851445e-01 
 7.49894209e+02  7.49894209e+02  0.00000000e+00 -9.41577704e-01 -4.36496330e-01 
 7.94328235e+02  7.94328235e+02  0.00000000e+00 -1.03527318e+00 -4.58956387e-01 
 8.41395142e+02  8.41395142e+02  0.00000000e+00 -1.13804955e+00 -4.82215328e-01 
 8.91250938e+02  8.91250938e+02  0.00000000e+00 -1.25054314e+00 -5.06249495e-01 
