 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-07  1.00000000e-07  6.28318489e-04  6.27684528e-07 
 1.08405658e-07  1.08405658e-07  6.81132786e-04  6.84880078e-07 
 1.25216975e-07  1.25216975e-07  7.86761374e-04  8.08139491e-07 
 1.58839608e-07  1.58839608e-07  9.98018522e-04  1.10785916e-06 
 2.26084873e-07  2.26084873e-07  1.42053268e-03  1.92001152e-06 
 3.60575405e-07  3.60575405e-07  2.26556015e-03  4.39444580e-06 
 6.29556468e-07  6.29556468e-07  3.95560963e-03  1.27380581e-05 
 1.16751859e-06  1.16751859e-06  7.33566988e-03  4.29581513e-05 
 2.24344284e-06  2.24344284e-06  1.40955003e-02  1.57162392e-04 
 4.39529135e-06  4.39529135e-06  2.76129198e-02  5.97710321e-04 
 8.69898835e-06  8.69898835e-06  5.46301457e-02  2.30438335e-03 
 1.73063824e-05  1.73063824e-05  1.08525041e-01  8.84160193e-03 
 2.73063824e-05  2.73063824e-05  1.70730553e-01  2.12830850e-02 
 3.73063824e-05  3.73063824e-05  2.32262269e-01  3.84178298e-02 
 4.73063824e-05  4.73063824e-05  2.92877352e-01  5.97189057e-02 
 5.73063824e-05  5.73063824e-05  3.52336582e-01  8.46870992e-02 
 6.73063824e-05  6.73063824e-05  4.10405300e-01  1.12848638e-01 
 7.73063824e-05  7.73063824e-05  4.66854336e-01  1.43753226e-01 
 8.73063824e-05  8.73063824e-05  5.21460911e-01  1.76972347e-01 
 9.73063824e-05  9.73063824e-05  5.74009519e-01  2.12097825e-01 
 1.07306382e-04  1.07306382e-04  6.24292773e-01  2.48740599e-01 
 1.17306382e-04  1.17306382e-04  6.72112228e-01  2.86529699e-01 
 1.27306382e-04  1.27306382e-04  7.17279164e-01  3.25111393e-01 
 1.37306382e-04  1.37306382e-04  7.59615327e-01  3.64148494e-01 
 1.47306382e-04  1.47306382e-04  7.98953634e-01  4.03319793e-01 
 1.57306382e-04  1.57306382e-04  8.35138837e-01  4.42319626e-01 
 1.67306382e-04  1.67306382e-04  8.68028129e-01  4.80857528e-01 
 1.77306382e-04  1.77306382e-04  8.97491710e-01  5.18657987e-01 
 1.87306382e-04  1.87306382e-04  9.23413301e-01  5.55460265e-01 
 1.97306382e-04  1.97306382e-04  9.45690602e-01  5.91018293e-01 
 2.07306382e-04  2.07306382e-04  9.64235694e-01  6.25100604e-01 
 2.17306382e-04  2.17306382e-04  9.78975388e-01  6.57490316e-01 
 2.27306382e-04  2.27306382e-04  9.89851514e-01  6.87985150e-01 
 2.37306382e-04  2.37306382e-04  9.96821148e-01  7.16397462e-01 
 2.47306382e-04  2.47306382e-04  9.99856784e-01  7.42554295e-01 
 2.57306382e-04  2.57306382e-04  9.98946442e-01  7.66297443e-01 
 2.67306382e-04  2.67306382e-04  9.94093716e-01  7.87483513e-01 
 2.77306382e-04  2.77306382e-04  9.85317755e-01  8.05983978e-01 
 2.87306382e-04  2.87306382e-04  9.72653195e-01  8.21685230e-01 
 2.97306382e-04  2.97306382e-04  9.56150018e-01  8.34488612e-01 
 3.07306382e-04  3.07306382e-04  9.35873353e-01  8.44310429e-01 
 3.17306382e-04  3.17306382e-04  9.11903224e-01  8.51081943e-01 
 3.27306382e-04  3.27306382e-04  8.84334229e-01  8.54749336e-01 
 3.37306382e-04  3.37306382e-04  8.53275171e-01  8.55273646e-01 
 3.47306382e-04  3.47306382e-04  8.18848626e-01  8.52630668e-01 
 3.57306382e-04  3.57306382e-04  7.81190460e-01  8.46810826e-01 
 3.67306382e-04  3.67306382e-04  7.40449291e-01  8.37819007e-01 
 3.77306382e-04  3.77306382e-04  6.96785908e-01  8.25674353e-01 
 3.87306382e-04  3.87306382e-04  6.50372628e-01  8.10410019e-01 
 3.97306382e-04  3.97306382e-04  6.01392626e-01  7.92072894e-01 
 4.07306382e-04  4.07306382e-04  5.50039201e-01  7.70723279e-01 
 4.17306382e-04  4.17306382e-04  4.96515023e-01  7.46434521e-01 
 4.27306382e-04  4.27306382e-04  4.41031326e-01  7.19292618e-01 
 4.37306382e-04  4.37306382e-04  3.83807081e-01  6.89395775e-01 
 4.47306382e-04  4.47306382e-04  3.25068125e-01  6.56853925e-01 
 4.57306382e-04  4.57306382e-04  2.65046273e-01  6.21788217e-01 
 4.67306382e-04  4.67306382e-04  2.03978404e-01  5.84330458e-01 
 4.77306382e-04  4.77306382e-04  1.42105526e-01  5.44622528e-01 
 4.87306382e-04  4.87306382e-04  7.96718227e-02  5.02815762e-01 
 4.97306382e-04  4.97306382e-04  1.69236908e-02  4.59070292e-01 
 5.07306382e-04  5.07306382e-04 -4.58912312e-02  4.13554370e-01 
 5.17306382e-04  5.17306382e-04 -1.08525041e-01  3.66443656e-01 
 5.27306382e-04  5.27306382e-04 -1.70730553e-01  3.17920487e-01 
 5.37306382e-04  5.37306382e-04 -2.32262269e-01  2.68173119e-01 
 5.47306382e-04  5.47306382e-04 -2.92877352e-01  2.17394950e-01 
 5.57306382e-04  5.57306382e-04 -3.52336582e-01  1.65783730e-01 
 5.67306382e-04  5.67306382e-04 -4.10405300e-01  1.13540750e-01 
 5.77306382e-04  5.77306382e-04 -4.66854336e-01  6.08700239e-02 
 5.87306382e-04  5.87306382e-04 -5.21460911e-01  7.97746342e-03 
 5.97306382e-04  5.97306382e-04 -5.74009519e-01 -4.49299571e-02 
 6.07306382e-04  6.07306382e-04 -6.24292773e-01 -9.76450346e-02 
 6.17306382e-04  6.17306382e-04 -6.72112228e-01 -1.49961171e-01 
 6.27306382e-04  6.27306382e-04 -7.17279164e-01 -2.01673205e-01 
 6.37306382e-04  6.37306382e-04 -7.59615327e-01 -2.52578232e-01 
 6.47306382e-04  6.47306382e-04 -7.98953634e-01 -3.02476420e-01 
 6.57306382e-04  6.57306382e-04 -8.35138837e-01 -3.51171808e-01 
 6.67306382e-04  6.67306382e-04 -8.68028129e-01 -3.98473089e-01 
 6.77306382e-04  6.77306382e-04 -8.97491710e-01 -4.44194374e-01 
 6.87306382e-04  6.87306382e-04 -9.23413301e-01 -4.88155934e-01 
 6.97306382e-04  6.97306382e-04 -9.45690602e-01 -5.30184916e-01 
 7.07306382e-04  7.07306382e-04 -9.64235694e-01 -5.70116033e-01 
 7.17306382e-04  7.17306382e-04 -9.78975388e-01 -6.07792220e-01 
 7.27306382e-04  7.27306382e-04 -9.89851514e-01 -6.43065263e-01 
 7.37306382e-04  7.37306382e-04 -9.96821148e-01 -6.75796383e-01 
 7.47306382e-04  7.47306382e-04 -9.99856784e-01 -7.05856794e-01 
 7.57306382e-04  7.57306382e-04 -9.98946442e-01 -7.33128212e-01 
 7.67306382e-04  7.67306382e-04 -9.94093716e-01 -7.57503327e-01 
 7.77306382e-04  7.77306382e-04 -9.85317755e-01 -7.78886228e-01 
 7.87306382e-04  7.87306382e-04 -9.72653195e-01 -7.97192786e-01 
 7.97306382e-04  7.97306382e-04 -9.56150018e-01 -8.12350986e-01 
 8.07306382e-04  8.07306382e-04 -9.35873353e-01 -8.24301218e-01 
 8.17306382e-04  8.17306382e-04 -9.11903224e-01 -8.32996512e-01 
 8.27306382e-04  8.27306382e-04 -8.84334229e-01 -8.38402723e-01 
 8.37306382e-04  8.37306382e-04 -8.53275171e-01 -8.40498673e-01 
 8.47306382e-04  8.47306382e-04 -8.18848626e-01 -8.39276230e-01 
 8.57306382e-04  8.57306382e-04 -7.81190460e-01 -8.34740347e-01 
 8.67306382e-04  8.67306382e-04 -7.40449291e-01 -8.26909040e-01 
 8.77306382e-04  8.77306382e-04 -6.96785908e-01 -8.15813321e-01 
 8.87306382e-04  8.87306382e-04 -6.50372628e-01 -8.01497073e-01 
 8.97306382e-04  8.97306382e-04 -6.01392626e-01 -7.84016881e-01 
 9.07306382e-04  9.07306382e-04 -5.50039201e-01 -7.63441809e-01 
 9.17306382e-04  9.17306382e-04 -4.96515023e-01 -7.39853126e-01 
 9.27306382e-04  9.27306382e-04 -4.41031326e-01 -7.13343989e-01 
 9.37306382e-04  9.37306382e-04 -3.83807081e-01 -6.84019074e-01 
 9.47306382e-04  9.47306382e-04 -3.25068125e-01 -6.51994166e-01 
 9.57306382e-04  9.57306382e-04 -2.65046273e-01 -6.17395698e-01 
 9.67306382e-04  9.67306382e-04 -2.03978404e-01 -5.80360256e-01 
 9.77306382e-04  9.77306382e-04 -1.42105526e-01 -5.41034041e-01 
 9.87306382e-04  9.87306382e-04 -7.96718227e-02 -4.99572288e-01 
 9.97306382e-04  9.97306382e-04 -1.69236908e-02 -4.56138661e-01 
 1.00730638e-03  1.00730638e-03  4.58912312e-02 -4.10904599e-01 
 1.01730638e-03  1.01730638e-03  1.08525041e-01 -3.64048647e-01 
 1.02730638e-03  1.02730638e-03  1.70730553e-01 -3.15755745e-01 
 1.03730638e-03  1.03730638e-03  2.32262269e-01 -2.66216506e-01 
 1.04730638e-03  1.04730638e-03  2.92877352e-01 -2.15626455e-01 
 1.05730638e-03  1.05730638e-03  3.52336582e-01 -1.64185266e-01 
 1.06730638e-03  1.06730638e-03  4.10405300e-01 -1.12095970e-01 
 1.07730638e-03  1.07730638e-03  4.66854336e-01 -5.95641519e-02 
 1.08730638e-03  1.08730638e-03  5.21460911e-01 -6.79714412e-03 
 1.09730638e-03  1.09730638e-03  5.74009519e-01  4.59967950e-02 
 1.10730638e-03  1.10730638e-03  6.24292773e-01  9.86093017e-02 
 1.11730638e-03  1.11730638e-03  6.72112228e-01  1.50832729e-01 
 1.12730638e-03  1.12730638e-03  7.17279164e-01  2.02460967e-01 
 1.13730638e-03  1.13730638e-03  7.59615327e-01  2.53290255e-01 
 1.14730638e-03  1.14730638e-03  7.98953634e-01  3.03119986e-01 
 1.15730638e-03  1.15730638e-03  8.35138837e-01  3.51753498e-01 
 1.16730638e-03  1.16730638e-03  8.68028129e-01  3.98998853e-01 
 1.17730638e-03  1.17730638e-03  8.97491710e-01  4.44669589e-01 
 1.18730638e-03  1.18730638e-03  9.23413301e-01  4.88585459e-01 
 1.19730638e-03  1.19730638e-03  9.45690602e-01  5.30573145e-01 
 1.20730638e-03  1.20730638e-03  9.64235694e-01  5.70466936e-01 
