freq_hz,gain_vv,gain_db,thd_freq_5w_pct,power_w,vrms,vpeak,thd_power_pct
10,9.578262823873457,19.625734994895865,0.0043752758320015775,0.05,0.6324555320336759,0.894427190999916,0.004213924281144669
20,9.889363411649088,19.90336673041461,0.00419591833149692,0.1,0.8944271909999159,1.2649110640673518,0.00330759055056658
50,9.982047716340674,19.984392831126858,0.003962121602169907,0.2,1.2649110640673518,1.788854381999832,0.0026843766561597555
100,9.995500077975562,19.996090537711826,0.0038409037675756824,0.5,2.0,2.8284271247461903,0.0022020373603998545
200,9.998863356840776,19.99901266818285,0.003755350234189563,1,2.8284271247461903,4.000000000000001,0.0021
500,9.999746042514726,19.99977941253001,0.0036881444558777145,2,4.0,5.656854249492381,0.0023419076385699663
1000,9.999659156776021,19.99970394229177,0.0036746105061989686,3,4.898979485566356,6.928203230275509,0.002760067851325699
2000,9.998805529432696,19.998962434079317,0.003709665776309618,5,6.324555320336759,8.94427190999916,0.003813049516849971
5000,9.992609947643516,19.993578709105066,0.003908272775545011,7,7.483314773547883,10.583005244258363,0.0062131437265384925
10000,9.970544406341327,19.97437744148898,0.004319826940372814,8,8.0,11.313708498984761,0.008693142361983696
20000,9.883716865314359,19.898405917132525,0.005256217258501379,9,8.48528137423857,12.0,0.01322263979422809
50000,9.333456045230374,19.400849731199873,0.008468910892632991,9.5,8.717797887081348,12.328828005937956,0.016725386230344433
100000,7.926239887479195,17.981344242204006,0.014496123343355483,10,8.94427190999916,12.649110640673518,0.021403822193380384
200000,5.449883505341029,14.727744381208861,0.02787953943504648,,,,
500000,2.5163385176042135,8.015381308105313,0.07340455700249804,,,,
1000000,1.2891523025404081,2.2060845727552065,0.1586170745068238,,,,
