 1.20010938e-01  1.20010938e-01  1.20010938e-01 -1.36534325e-02  1.20010938e-01  1.71804496e-04
 1.20050000e-01  1.20050000e-01  1.20050000e-01 -1.67447724e-02  1.20050000e-01  7.85268977e-04
 1.20089063e-01  1.20089063e-01  1.20089063e-01 -1.98147305e-02  1.20089063e-01  1.39826044e-03
 1.20128125e-01  1.20128125e-01  1.20128125e-01 -2.28623156e-02  1.20128125e-01  2.01040965e-03
 1.20167188e-01  1.20167188e-01  1.20167188e-01 -2.58861620e-02  1.20167188e-01  2.62134785e-03
 1.20206250e-01  1.20206250e-01  1.20206250e-01 -2.88850665e-02  1.20206250e-01  3.23070706e-03
 1.20245313e-01  1.20245313e-01  1.20245313e-01 -3.18577589e-02  1.20245313e-01  3.83812021e-03
 1.20284375e-01  1.20284375e-01  1.20284375e-01 -3.48030480e-02  1.20284375e-01  4.44322142e-03
 1.20323438e-01  1.20323438e-01  1.20323438e-01 -3.77196973e-02  1.20323438e-01  5.04564620e-03
 1.20362500e-01  1.20362500e-01  1.20362500e-01 -4.06065423e-02  1.20362500e-01  5.64503167e-03
 1.20401563e-01  1.20401563e-01  1.20401563e-01 -4.34623749e-02  1.20401563e-01  6.24101679e-03
 1.20440625e-01  1.20440625e-01  1.20440625e-01 -4.62860583e-02  1.20440625e-01  6.83324255e-03
 1.20479688e-01  1.20479688e-01  1.20479688e-01 -4.90764123e-02  1.20479688e-01  7.42135222e-03
 1.20518750e-01  1.20518750e-01  1.20518750e-01 -5.18323281e-02  1.20518750e-01  8.00499154e-03
 1.20557813e-01  1.20557813e-01  1.20557813e-01 -5.45526536e-02  1.20557813e-01  8.58380896e-03
 1.20596875e-01  1.20596875e-01  1.20596875e-01 -5.72363086e-02  1.20596875e-01  9.15745581e-03
 1.20635938e-01  1.20635938e-01  1.20635938e-01 -5.98821695e-02  1.20635938e-01  9.72558655e-03
 1.20675000e-01  1.20675000e-01  1.20675000e-01 -6.24891854e-02  1.20675000e-01  1.02878590e-02
 1.20714063e-01  1.20714063e-01  1.20714063e-01 -6.50562625e-02  1.20714063e-01  1.08439344e-02
 1.20753125e-01  1.20753125e-01  1.20753125e-01 -6.75823802e-02  1.20753125e-01  1.13934778e-02
 1.20792188e-01  1.20792188e-01  1.20792188e-01 -7.00664754e-02  1.20792188e-01  1.19361582e-02
 1.20831250e-01  1.20831250e-01  1.20831250e-01 -7.25075589e-02  1.20831250e-01  1.24716487e-02
 1.20870313e-01  1.20870313e-01  1.20870313e-01 -7.49046000e-02  1.20870313e-01  1.29996267e-02
 1.20909375e-01  1.20909375e-01  1.20909375e-01 -7.72566423e-02  1.20909375e-01  1.35197743e-02
 1.20948438e-01  1.20948438e-01  1.20948438e-01 -7.95626887e-02  1.20948438e-01  1.40317781e-02
 1.20987500e-01  1.20987500e-01  1.20987500e-01 -8.18218174e-02  1.20987500e-01  1.45353296e-02
 1.21026563e-01  1.21026563e-01  1.21026563e-01 -8.40330663e-02  1.21026563e-01  1.50301256e-02
 1.21065625e-01  1.21065625e-01  1.21065625e-01 -8.61955498e-02  1.21065625e-01  1.55158680e-02
 1.21104688e-01  1.21104688e-01  1.21104688e-01 -8.83083427e-02  1.21104688e-01  1.59922643e-02
 1.21143750e-01  1.21143750e-01  1.21143750e-01 -9.03705969e-02  1.21143750e-01  1.64590274e-02
 1.21182813e-01  1.21182813e-01  1.21182813e-01 -9.23814261e-02  1.21182813e-01  1.69158762e-02
 1.21221875e-01  1.21221875e-01  1.21221875e-01 -9.43400214e-02  1.21221875e-01  1.73625355e-02
 1.21260938e-01  1.21260938e-01  1.21260938e-01 -9.62455368e-02  1.21260938e-01  1.77987362e-02
 1.21300000e-01  1.21300000e-01  1.21300000e-01 -9.80972047e-02  1.21300000e-01  1.82242157e-02
 1.21339063e-01  1.21339063e-01  1.21339063e-01 -9.98942210e-02  1.21339063e-01  1.86387176e-02
 1.21378125e-01  1.21378125e-01  1.21378125e-01 -1.01635861e-01  1.21378125e-01  1.90419922e-02
 1.21417188e-01  1.21417188e-01  1.21417188e-01 -1.03321364e-01  1.21417188e-01  1.94337966e-02
 1.21456250e-01  1.21456250e-01  1.21456250e-01 -1.04950050e-01  1.21456250e-01  1.98138948e-02
 1.21495313e-01  1.21495313e-01  1.21495313e-01 -1.06521203e-01  1.21495313e-01  2.01820579e-02
 1.21534375e-01  1.21534375e-01  1.21534375e-01 -1.08034190e-01  1.21534375e-01  2.05380641e-02
 1.21573438e-01  1.21573438e-01  1.21573438e-01 -1.09488341e-01  1.21573438e-01  2.08816989e-02
 1.21612500e-01  1.21612500e-01  1.21612500e-01 -1.10883072e-01  1.21612500e-01  2.12127554e-02
 1.21651563e-01  1.21651563e-01  1.21651563e-01 -1.12217760e-01  1.21651563e-01  2.15310341e-02
 1.21690625e-01  1.21690625e-01  1.21690625e-01 -1.13491869e-01  1.21690625e-01  2.18363433e-02
 1.21729688e-01  1.21729688e-01  1.21729688e-01 -1.14704829e-01  1.21729688e-01  2.21284991e-02
 1.21768750e-01  1.21768750e-01  1.21768750e-01 -1.15856152e-01  1.21768750e-01  2.24073255e-02
