 1.20005469e-02  1.20005469e-02  1.20005469e-02  1.71805510e-04  1.20005469e-02  2.65756472e-01  1.20005469e-02  6.14352438e+00 
 1.20025000e-02  1.20025000e-02  1.20025000e-02  7.85365866e-04  1.20025000e-02  2.59505313e-01  1.20025000e-02  6.13733734e+00 
 1.20044531e-02  1.20044531e-02  1.20044531e-02  1.39880795e-03  1.20044531e-02  2.53112233e-01  1.20044531e-02  6.13100683e+00 
 1.20064063e-02  1.20064063e-02  1.20064063e-02  2.01203937e-03  1.20064063e-02  2.46576935e-01  1.20064063e-02  6.12453253e+00 
 1.20083594e-02  1.20083594e-02  1.20083594e-02  2.62496780e-03  1.20083594e-02  2.39896068e-01  1.20083594e-02  6.11791105e+00 
 1.20103125e-02  1.20103125e-02  1.20103125e-02  3.23750091e-03  1.20103125e-02  2.33069433e-01  1.20103125e-02  6.11114215e+00 
 1.20122656e-02  1.20122656e-02  1.20122656e-02  3.84954646e-03  1.20122656e-02  2.26093791e-01  1.20122656e-02  6.10422256e+00 
 1.20142188e-02  1.20142188e-02  1.20142188e-02  4.46101229e-03  1.20142188e-02  2.18969058e-01  1.20142188e-02  6.09715216e+00 
 1.20161719e-02  1.20161719e-02  1.20161719e-02  5.07180630e-03  1.20161719e-02  2.11692126e-01  1.20161719e-02  6.08992779e+00 
 1.20181250e-02  1.20181250e-02  1.20181250e-02  5.68183652e-03  1.20181250e-02  2.04263041e-01  1.20181250e-02  6.08254948e+00 
 1.20200781e-02  1.20200781e-02  1.20200781e-02  6.29101108e-03  1.20200781e-02  1.96678840e-01  1.20200781e-02  6.07501423e+00 
 1.20220313e-02  1.20220313e-02  1.20220313e-02  6.89923823e-03  1.20220313e-02  1.88939715e-01  1.20220313e-02  6.06732217e+00 
 1.20239844e-02  1.20239844e-02  1.20239844e-02  7.50642639e-03  1.20239844e-02  1.81042864e-01  1.20239844e-02  6.05947049e+00 
 1.20259375e-02  1.20259375e-02  1.20259375e-02  8.11248410e-03  1.20259375e-02  1.72988639e-01  1.20259375e-02  6.05145948e+00 
 1.20278906e-02  1.20278906e-02  1.20278906e-02  8.71732010e-03  1.20278906e-02  1.64774413e-01  1.20278906e-02  6.04328648e+00 
 1.20298438e-02  1.20298438e-02  1.20298438e-02  9.32084331e-03  1.20298438e-02  1.56400711e-01  1.20298438e-02  6.03495199e+00 
 1.20317969e-02  1.20317969e-02  1.20317969e-02  9.92296283e-03  1.20317969e-02  1.47865092e-01  1.20317969e-02  6.02645351e+00 
 1.20337500e-02  1.20337500e-02  1.20337500e-02  1.05235880e-02  1.20337500e-02  1.39168268e-01  1.20337500e-02  6.01779172e+00 
 1.20357031e-02  1.20357031e-02  1.20357031e-02  1.11226283e-02  1.20357031e-02  1.30307992e-01  1.20357031e-02  6.00896434e+00 
 1.20376563e-02  1.20376563e-02  1.20376563e-02  1.17199937e-02  1.20376563e-02  1.21285172e-01  1.20376563e-02  5.99997224e+00 
 1.20396094e-02  1.20396094e-02  1.20396094e-02  1.23155940e-02  1.20396094e-02  1.12097769e-01  1.20396094e-02  5.99081332e+00 
 1.20415625e-02  1.20415625e-02  1.20415625e-02  1.29093396e-02  1.20415625e-02  1.02746895e-01  1.20415625e-02  5.98148867e+00 
 1.20435156e-02  1.20435156e-02  1.20435156e-02  1.35011412e-02  1.20435156e-02  9.32307242e-02  1.20435156e-02  5.97199643e+00 
 1.20454688e-02  1.20454688e-02  1.20454688e-02  1.40909095e-02  1.20454688e-02  8.35505820e-02  1.20454688e-02  5.96233786e+00 
 1.20474219e-02  1.20474219e-02  1.20474219e-02  1.46785558e-02  1.20474219e-02  7.37048687e-02  1.20474219e-02  5.95251135e+00 
 1.20493750e-02  1.20493750e-02  1.20493750e-02  1.52639916e-02  1.20493750e-02  6.36951318e-02  1.20493750e-02  5.94251838e+00 
 1.20513281e-02  1.20513281e-02  1.20513281e-02  1.58471286e-02  1.20513281e-02  5.35200074e-02  1.20513281e-02  5.93235757e+00 
 1.20532813e-02  1.20532813e-02  1.20532813e-02  1.64278791e-02  1.20532813e-02  4.31812795e-02  1.20532813e-02  5.92203064e+00 
 1.20552344e-02  1.20552344e-02  1.20552344e-02  1.70061557e-02  1.20552344e-02  3.26778360e-02  1.20552344e-02  5.91153646e+00 
 1.20571875e-02  1.20571875e-02  1.20571875e-02  1.75818712e-02  1.20571875e-02  2.20117155e-02  1.20571875e-02  5.90087702e+00 
 1.20591406e-02  1.20591406e-02  1.20591406e-02  1.81549389e-02  1.20591406e-02  1.11820789e-02  1.20591406e-02  5.89005143e+00 
 1.20610938e-02  1.20610938e-02  1.20610938e-02  1.87252726e-02  1.20610938e-02  1.87760539e-04  1.20610938e-02  5.87905850e+00 
 1.20630469e-02  1.20630469e-02  1.20630469e-02  1.92927863e-02  1.20630469e-02 -1.07995444e-02  1.20630469e-02  5.86806990e+00 
 1.20650000e-02  1.20650000e-02  1.20650000e-02  1.98573945e-02  1.20650000e-02 -2.20899652e-02  1.20650000e-02  5.85677546e+00 
 1.20669531e-02  1.20669531e-02  1.20669531e-02  2.04190124e-02  1.20669531e-02 -3.35859527e-02  1.20669531e-02  5.84527268e+00 
 1.20689063e-02  1.20689063e-02  1.20689063e-02  2.09775552e-02  1.20689063e-02 -4.52339778e-02  1.20689063e-02  5.83361503e+00 
 1.20708594e-02  1.20708594e-02  1.20708594e-02  2.15329388e-02  1.20708594e-02 -5.70345866e-02  1.20708594e-02  5.82180194e+00 
 1.20728125e-02  1.20728125e-02  1.20728125e-02  2.20850797e-02  1.20728125e-02 -6.89845608e-02  1.20728125e-02  5.80983658e+00 
 1.20747656e-02  1.20747656e-02  1.20747656e-02  2.26338946e-02  1.20747656e-02 -8.10849674e-02  1.20747656e-02  5.79771786e+00 
 1.20767188e-02  1.20767188e-02  1.20767188e-02  2.31793010e-02  1.20767188e-02 -9.33317445e-02  1.20767188e-02  5.78544979e+00 
