 5.00000000e+00  5.00000000e+00  0.00000000e+00  5.00000000e+00  1.18416636e+01  5.00000000e+00 -9.50250278e-01
 5.14600264e+00  5.14600264e+00  0.00000000e+00  5.14600264e+00  1.21948913e+01  5.14600264e+00 -9.64674729e-01
 5.29626863e+00  5.29626863e+00  0.00000000e+00  5.29626863e+00  1.25448538e+01  5.29626863e+00 -9.79120647e-01
 5.45092246e+00  5.45092246e+00  0.00000000e+00  5.45092246e+00  1.28915638e+01  5.45092246e+00 -9.93578202e-01
 5.61009227e+00  5.61009227e+00  0.00000000e+00  5.61009227e+00  1.32350398e+01  5.61009227e+00 -1.00803779e+00
 5.77390992e+00  5.77390992e+00  0.00000000e+00  5.77390992e+00  1.35753053e+01  5.77390992e+00 -1.02249010e+00
 5.94251114e+00  5.94251114e+00  0.00000000e+00  5.94251114e+00  1.39123895e+01  5.94251114e+00 -1.03692613e+00
 6.11603560e+00  6.11603560e+00  0.00000000e+00  6.11603560e+00  1.42463260e+01  6.11603560e+00 -1.05133724e+00
 6.29462706e+00  6.29462706e+00  0.00000000e+00  6.29462706e+00  1.45771534e+01  6.29462706e+00 -1.06571520e+00
 6.47843349e+00  6.47843349e+00  0.00000000e+00  6.47843349e+00  1.49049143e+01  6.47843349e+00 -1.08005219e+00
 6.66760716e+00  6.66760716e+00  0.00000000e+00  6.66760716e+00  1.52296552e+01  6.66760716e+00 -1.09434089e+00
 6.86230481e+00  6.86230481e+00  0.00000000e+00  6.86230481e+00  1.55514264e+01  6.86230481e+00 -1.10857442e+00
 7.06268772e+00  7.06268772e+00  0.00000000e+00  7.06268772e+00  1.58702810e+01  7.06268772e+00 -1.12274644e+00
 7.26892193e+00  7.26892193e+00  0.00000000e+00  7.26892193e+00  1.61862752e+01  7.26892193e+00 -1.13685113e+00
 7.48117828e+00  7.48117828e+00  0.00000000e+00  7.48117828e+00  1.64994675e+01  7.48117828e+00 -1.15088318e+00
 7.69963263e+00  7.69963263e+00  0.00000000e+00  7.69963263e+00  1.68099185e+01  7.69963263e+00 -1.16483786e+00
 7.92446596e+00  7.92446596e+00  0.00000000e+00  7.92446596e+00  1.71176904e+01  7.92446596e+00 -1.17871097e+00
 8.15586455e+00  8.15586455e+00  0.00000000e+00  8.15586455e+00  1.74228470e+01  8.15586455e+00 -1.19249887e+00
 8.39402009e+00  8.39402009e+00  0.00000000e+00  8.39402009e+00  1.77254528e+01  8.39402009e+00 -1.20619847e+00
 8.63912990e+00  8.63912990e+00  0.00000000e+00  8.63912990e+00  1.80255729e+01  8.63912990e+00 -1.21980723e+00
 8.89139705e+00  8.89139705e+00  0.00000000e+00  8.89139705e+00  1.83232730e+01  8.89139705e+00 -1.23332314e+00
 9.15103053e+00  9.15103053e+00  0.00000000e+00  9.15103053e+00  1.86186186e+01  9.15103053e+00 -1.24674473e+00
 9.41824545e+00  9.41824545e+00  0.00000000e+00  9.41824545e+00  1.89116749e+01  9.41824545e+00 -1.26007106e+00
 9.69326318e+00  9.69326318e+00  0.00000000e+00  9.69326318e+00  1.92025067e+01  9.69326318e+00 -1.27330168e+00
 9.97631157e+00  9.97631157e+00  0.00000000e+00  9.97631157e+00  1.94911776e+01  9.97631157e+00 -1.28643662e+00
 1.02676251e+01  1.02676251e+01  0.00000000e+00  1.02676251e+01  1.97777506e+01  1.02676251e+01 -1.29947643e+00
 1.05674452e+01  1.05674452e+01  0.00000000e+00  1.05674452e+01  2.00622871e+01  1.05674452e+01 -1.31242206e+00
 1.08760202e+01  1.08760202e+01  0.00000000e+00  1.08760202e+01  2.03448471e+01  1.08760202e+01 -1.32527494e+00
 1.11936057e+01  1.11936057e+01  0.00000000e+00  1.11936057e+01  2.06254888e+01  1.11936057e+01 -1.33803690e+00
 1.15204649e+01  1.15204649e+01  0.00000000e+00  1.15204649e+01  2.09042687e+01  1.15204649e+01 -1.35071016e+00
 1.18568685e+01  1.18568685e+01  0.00000000e+00  1.18568685e+01  2.11812412e+01  1.18568685e+01 -1.36329734e+00
