 6.00054688e-02  6.00054688e-02  6.00054688e-02 -6.24179342e-03  6.00054688e-02  6.87217984e-06 
 6.00250000e-02  6.00250000e-02  6.00250000e-02 -6.65007939e-03  6.00250000e-02  3.14107591e-05 
 6.00445313e-02  6.00445313e-02  6.00445313e-02 -7.05453801e-03  6.00445313e-02  5.59304177e-05 
 6.00640625e-02  6.00640625e-02  6.00640625e-02 -7.45491591e-03  6.00640625e-02  8.04163858e-05 
 6.00835938e-02  6.00835938e-02  6.00835938e-02 -7.85096176e-03  6.00835938e-02  1.04853914e-04 
 6.01031250e-02  6.01031250e-02  6.01031250e-02 -8.24242652e-03  6.01031250e-02  1.29228282e-04 
 6.01226563e-02  6.01226563e-02  6.01226563e-02 -8.62906356e-03  6.01226563e-02  1.53524808e-04 
 6.01421875e-02  6.01421875e-02  6.01421875e-02 -9.01062888e-03  6.01421875e-02  1.77728857e-04 
 6.01617188e-02  6.01617188e-02  6.01617188e-02 -9.38688121e-03  6.01617188e-02  2.01825848e-04 
 6.01812500e-02  6.01812500e-02  6.01812500e-02 -9.75758229e-03  6.01812500e-02  2.25801267e-04 
 6.02007813e-02  6.02007813e-02  6.02007813e-02 -1.01224969e-02  6.02007813e-02  2.49640671e-04 
 6.02203125e-02  6.02203125e-02  6.02203125e-02 -1.04813933e-02  6.02203125e-02  2.73329702e-04 
 6.02398438e-02  6.02398438e-02  6.02398438e-02 -1.08340429e-02  6.02398438e-02  2.96854089e-04 
 6.02593750e-02  6.02593750e-02  6.02593750e-02 -1.11802211e-02  6.02593750e-02  3.20199662e-04 
 6.02789063e-02  6.02789063e-02  6.02789063e-02 -1.15197068e-02  6.02789063e-02  3.43352358e-04 
 6.02984375e-02  6.02984375e-02  6.02984375e-02 -1.18522830e-02  6.02984375e-02  3.66298232e-04 
 6.03179688e-02  6.03179688e-02  6.03179688e-02 -1.21777369e-02  6.03179688e-02  3.89023462e-04 
 6.03375000e-02  6.03375000e-02  6.03375000e-02 -1.24958597e-02  6.03375000e-02  4.11514359e-04 
 6.03570313e-02  6.03570313e-02  6.03570313e-02 -1.28064474e-02  6.03570313e-02  4.33757374e-04 
 6.03765625e-02  6.03765625e-02  6.03765625e-02 -1.31093003e-02  6.03765625e-02  4.55739111e-04 
 6.03960938e-02  6.03960938e-02  6.03960938e-02 -1.34042236e-02  6.03960938e-02  4.77446327e-04 
 6.04156250e-02  6.04156250e-02  6.04156250e-02 -1.36910273e-02  6.04156250e-02  4.98865947e-04 
 6.04351563e-02  6.04351563e-02  6.04351563e-02 -1.39695265e-02  6.04351563e-02  5.19985070e-04 
 6.04546875e-02  6.04546875e-02  6.04546875e-02 -1.42395414e-02  6.04546875e-02  5.40790972e-04 
 6.04742188e-02  6.04742188e-02  6.04742188e-02 -1.45008977e-02  6.04742188e-02  5.61271123e-04 
 6.04937500e-02  6.04937500e-02  6.04937500e-02 -1.47534262e-02  6.04937500e-02  5.81413184e-04 
 6.05132813e-02  6.05132813e-02  6.05132813e-02 -1.49969637e-02  6.05132813e-02  6.01205024e-04 
 6.05328125e-02  6.05328125e-02  6.05328125e-02 -1.52313523e-02  6.05328125e-02  6.20634721e-04 
 6.05523438e-02  6.05523438e-02  6.05523438e-02 -1.54564403e-02  6.05523438e-02  6.39690571e-04 
 6.05718750e-02  6.05718750e-02  6.05718750e-02 -1.56720817e-02  6.05718750e-02  6.58361094e-04 
 6.05914063e-02  6.05914063e-02  6.05914063e-02 -1.58781365e-02  6.05914063e-02  6.76635046e-04 
 6.06109375e-02  6.06109375e-02  6.06109375e-02 -1.60744711e-02  6.06109375e-02  6.94501418e-04 
 6.06304688e-02  6.06304688e-02  6.06304688e-02 -1.62609580e-02  6.06304688e-02  7.11949449e-04 
 6.06500000e-02  6.06500000e-02  6.06500000e-02 -1.64374761e-02  6.06500000e-02  7.28968627e-04 
 6.06695313e-02  6.06695313e-02  6.06695313e-02 -1.66039109e-02  6.06695313e-02  7.45548703e-04 
 6.06890625e-02  6.06890625e-02  6.06890625e-02 -1.67601542e-02  6.06890625e-02  7.61679687e-04 
 6.07085938e-02  6.07085938e-02  6.07085938e-02 -1.69061047e-02  6.07085938e-02  7.77351864e-04 
 6.07281250e-02  6.07281250e-02  6.07281250e-02 -1.70416675e-02  6.07281250e-02  7.92555794e-04 
 6.07476563e-02  6.07476563e-02  6.07476563e-02 -1.71667549e-02  6.07476563e-02  8.07282318e-04 
 6.07671875e-02  6.07671875e-02  6.07671875e-02 -1.72812857e-02  6.07671875e-02  8.21522564e-04 
 6.07867188e-02  6.07867188e-02  6.07867188e-02 -1.73851858e-02  6.07867188e-02  8.35267957e-04 
 6.08062500e-02  6.08062500e-02  6.08062500e-02 -1.74783880e-02  6.08062500e-02  8.48510215e-04 
 6.08257813e-02  6.08257813e-02  6.08257813e-02 -1.75608321e-02  6.08257813e-02  8.61241362e-04 
 6.08453125e-02  6.08453125e-02  6.08453125e-02 -1.76324653e-02  6.08453125e-02  8.73453730e-04 
 6.08648438e-02  6.08648438e-02  6.08648438e-02 -1.76932413e-02  6.08648438e-02  8.85139962e-04 
 6.08843750e-02  6.08843750e-02  6.08843750e-02 -1.77431216e-02  6.08843750e-02  8.96293019e-04 
 6.09039063e-02  6.09039063e-02  6.09039063e-02 -1.77820744e-02  6.09039063e-02  9.06906182e-04 
 6.09234375e-02  6.09234375e-02  6.09234375e-02 -1.78100754e-02  6.09234375e-02  9.16973059e-04 
 6.09429688e-02  6.09429688e-02  6.09429688e-02 -1.78271073e-02  6.09429688e-02  9.26487586e-04 
 6.09625000e-02  6.09625000e-02  6.09625000e-02 -1.78331601e-02  6.09625000e-02  9.35444031e-04 
 6.09820313e-02  6.09820313e-02  6.09820313e-02 -1.78282312e-02  6.09820313e-02  9.43836999e-04 
 6.10015625e-02  6.10015625e-02  6.10015625e-02 -1.78123250e-02  6.10015625e-02  9.51661436e-04 
 6.10210938e-02  6.10210938e-02  6.10210938e-02 -1.77854533e-02  6.10210938e-02  9.58912627e-04 
 6.10406250e-02  6.10406250e-02  6.10406250e-02 -1.77476349e-02  6.10406250e-02  9.65586206e-04 
 6.10601563e-02  6.10601563e-02  6.10601563e-02 -1.76988961e-02  6.10601563e-02  9.71678151e-04 
 6.10796875e-02  6.10796875e-02  6.10796875e-02 -1.76392701e-02  6.10796875e-02  9.77184793e-04 
 6.10992188e-02  6.10992188e-02  6.10992188e-02 -1.75687973e-02  6.10992188e-02  9.82102816e-04 
 6.11187500e-02  6.11187500e-02  6.11187500e-02 -1.74875253e-02  6.11187500e-02  9.86429257e-04 
 6.11382813e-02  6.11382813e-02  6.11382813e-02 -1.73955087e-02  6.11382813e-02  9.90161510e-04 
 6.11578125e-02  6.11578125e-02  6.11578125e-02 -1.72928092e-02  6.11578125e-02  9.93297327e-04 
 6.11773438e-02  6.11773438e-02  6.11773438e-02 -1.71794953e-02  6.11773438e-02  9.95834818e-04 
 6.11968750e-02  6.11968750e-02  6.11968750e-02 -1.70556425e-02  6.11968750e-02  9.97772456e-04 
 6.12164063e-02  6.12164063e-02  6.12164063e-02 -1.69213332e-02  6.12164063e-02  9.99109073e-04 
 6.12359375e-02  6.12359375e-02  6.12359375e-02 -1.67766565e-02  6.12359375e-02  9.99843864e-04 
 6.12554688e-02  6.12554688e-02  6.12554688e-02 -1.66217082e-02  6.12554688e-02  9.99976386e-04 
 6.12750000e-02  6.12750000e-02  6.12750000e-02 -1.64565908e-02  6.12750000e-02  9.99506560e-04 
 6.12945313e-02  6.12945313e-02  6.12945313e-02 -1.62814131e-02  6.12945313e-02  9.98434669e-04 
 6.13140625e-02  6.13140625e-02  6.13140625e-02 -1.60962907e-02  6.13140625e-02  9.96761358e-04 
 6.13335938e-02  6.13335938e-02  6.13335938e-02 -1.59013453e-02  6.13335938e-02  9.94487635e-04 
 6.13531250e-02  6.13531250e-02  6.13531250e-02 -1.56967049e-02  6.13531250e-02  9.91614870e-04 
 6.13726563e-02  6.13726563e-02  6.13726563e-02 -1.54825037e-02  6.13726563e-02  9.88144794e-04 
 6.13921875e-02  6.13921875e-02  6.13921875e-02 -1.52588820e-02  6.13921875e-02  9.84079495e-04 
 6.14117188e-02  6.14117188e-02  6.14117188e-02 -1.50259859e-02  6.14117188e-02  9.79421425e-04 
 6.14312500e-02  6.14312500e-02  6.14312500e-02 -1.47839673e-02  6.14312500e-02  9.74173387e-04 
 6.14507813e-02  6.14507813e-02  6.14507813e-02 -1.45329840e-02  6.14507813e-02  9.68338544e-04 
 6.14703125e-02  6.14703125e-02  6.14703125e-02 -1.42731992e-02  6.14703125e-02  9.61920409e-04 
 6.14898438e-02  6.14898438e-02  6.14898438e-02 -1.40047815e-02  6.14898438e-02  9.54922850e-04 
 6.15093750e-02  6.15093750e-02  6.15093750e-02 -1.37279050e-02  6.15093750e-02  9.47350081e-04 
 6.15289063e-02  6.15289063e-02  6.15289063e-02 -1.34427489e-02  6.15289063e-02  9.39206664e-04 
 6.15484375e-02  6.15484375e-02  6.15484375e-02 -1.31494973e-02  6.15484375e-02  9.30497504e-04 
 6.15679688e-02  6.15679688e-02  6.15679688e-02 -1.28483394e-02  6.15679688e-02  9.21227847e-04 
 6.15875000e-02  6.15875000e-02  6.15875000e-02 -1.25394690e-02  6.15875000e-02  9.11403277e-04 
 6.16070313e-02  6.16070313e-02  6.16070313e-02 -1.22230847e-02  6.16070313e-02  9.01029711e-04 
