 1.20010938e-01  1.20010938e-01  1.20010938e-01 -1.32664160e-04  1.20010938e-01  6.87217984e-06 
 1.20050000e-01  1.20050000e-01  1.20050000e-01 -2.07751895e-04  1.20050000e-01  3.14107591e-05 
 1.20089063e-01  1.20089063e-01  1.20089063e-01 -2.82714628e-04  1.20089063e-01  5.59304177e-05 
 1.20128125e-01  1.20128125e-01  1.20128125e-01 -3.57507206e-04  1.20128125e-01  8.04163858e-05 
 1.20167188e-01  1.20167188e-01  1.20167188e-01 -4.32084573e-04  1.20167188e-01  1.04853914e-04 
 1.20206250e-01  1.20206250e-01  1.20206250e-01 -5.06401809e-04  1.20206250e-01  1.29228282e-04 
 1.20245313e-01  1.20245313e-01  1.20245313e-01 -5.80414142e-04  1.20245313e-01  1.53524808e-04 
 1.20284375e-01  1.20284375e-01  1.20284375e-01 -6.54076985e-04  1.20284375e-01  1.77728857e-04 
 1.20323438e-01  1.20323438e-01  1.20323438e-01 -7.27345961e-04  1.20323438e-01  2.01825848e-04 
 1.20362500e-01  1.20362500e-01  1.20362500e-01 -8.00176925e-04  1.20362500e-01  2.25801267e-04 
 1.20401563e-01  1.20401563e-01  1.20401563e-01 -8.72525995e-04  1.20401563e-01  2.49640671e-04 
 1.20440625e-01  1.20440625e-01  1.20440625e-01 -9.44349585e-04  1.20440625e-01  2.73329702e-04 
 1.20479688e-01  1.20479688e-01  1.20479688e-01 -1.01560441e-03  1.20479688e-01  2.96854089e-04 
 1.20518750e-01  1.20518750e-01  1.20518750e-01 -1.08624754e-03  1.20518750e-01  3.20199662e-04 
 1.20557813e-01  1.20557813e-01  1.20557813e-01 -1.15623641e-03  1.20557813e-01  3.43352358e-04 
 1.20596875e-01  1.20596875e-01  1.20596875e-01 -1.22552884e-03  1.20596875e-01  3.66298232e-04 
 1.20635938e-01  1.20635938e-01  1.20635938e-01 -1.29408306e-03  1.20635938e-01  3.89023462e-04 
 1.20675000e-01  1.20675000e-01  1.20675000e-01 -1.36185778e-03  1.20675000e-01  4.11514359e-04 
 1.20714063e-01  1.20714063e-01  1.20714063e-01 -1.42881214e-03  1.20714063e-01  4.33757374e-04 
 1.20753125e-01  1.20753125e-01  1.20753125e-01 -1.49490578e-03  1.20753125e-01  4.55739111e-04 
 1.20792188e-01  1.20792188e-01  1.20792188e-01 -1.56009888e-03  1.20792188e-01  4.77446327e-04 
 1.20831250e-01  1.20831250e-01  1.20831250e-01 -1.62435214e-03  1.20831250e-01  4.98865947e-04 
 1.20870313e-01  1.20870313e-01  1.20870313e-01 -1.68762683e-03  1.20870313e-01  5.19985070e-04 
 1.20909375e-01  1.20909375e-01  1.20909375e-01 -1.74988480e-03  1.20909375e-01  5.40790972e-04 
 1.20948438e-01  1.20948438e-01  1.20948438e-01 -1.81108854e-03  1.20948438e-01  5.61271123e-04 
 1.20987500e-01  1.20987500e-01  1.20987500e-01 -1.87120115e-03  1.20987500e-01  5.81413184e-04 
 1.21026563e-01  1.21026563e-01  1.21026563e-01 -1.93018639e-03  1.21026563e-01  6.01205024e-04 
 1.21065625e-01  1.21065625e-01  1.21065625e-01 -1.98800869e-03  1.21065625e-01  6.20634721e-04 
 1.21104688e-01  1.21104688e-01  1.21104688e-01 -2.04463321e-03  1.21104688e-01  6.39690571e-04 
 1.21143750e-01  1.21143750e-01  1.21143750e-01 -2.10002580e-03  1.21143750e-01  6.58361094e-04 
 1.21182813e-01  1.21182813e-01  1.21182813e-01 -2.15415306e-03  1.21182813e-01  6.76635046e-04 
 1.21221875e-01  1.21221875e-01  1.21221875e-01 -2.20698237e-03  1.21221875e-01  6.94501418e-04 
 1.21260938e-01  1.21260938e-01  1.21260938e-01 -2.25848187e-03  1.21260938e-01  7.11949449e-04 
 1.21300000e-01  1.21300000e-01  1.21300000e-01 -2.30862051e-03  1.21300000e-01  7.28968627e-04 
 1.21339063e-01  1.21339063e-01  1.21339063e-01 -2.35736805e-03  1.21339063e-01  7.45548703e-04 
 1.21378125e-01  1.21378125e-01  1.21378125e-01 -2.40469511e-03  1.21378125e-01  7.61679687e-04 
 1.21417188e-01  1.21417188e-01  1.21417188e-01 -2.45057314e-03  1.21417188e-01  7.77351864e-04 
 1.21456250e-01  1.21456250e-01  1.21456250e-01 -2.49497449e-03  1.21456250e-01  7.92555794e-04 
 1.21495313e-01  1.21495313e-01  1.21495313e-01 -2.53787237e-03  1.21495313e-01  8.07282318e-04 
 1.21534375e-01  1.21534375e-01  1.21534375e-01 -2.57924091e-03  1.21534375e-01  8.21522564e-04 
