 1.20022438e-01  1.20022438e-01  1.20022438e-01 -9.26597518e-01  1.20022438e-01  7.04902771e-03
 1.20061501e-01  1.20061501e-01  1.20061501e-01 -9.70029046e-01  1.20061501e-01  1.93162994e-02
 1.20100563e-01  1.20100563e-01  1.20100563e-01 -1.01358212e+00  1.20100563e-01  3.15719358e-02
 1.20139626e-01  1.20139626e-01  1.20139626e-01 -1.05644800e+00  1.20139626e-01  4.38085543e-02
 1.20178688e-01  1.20178688e-01  1.20178688e-01 -1.09939062e+00  1.20178688e-01  5.60187843e-02
 1.20217751e-01  1.20217751e-01  1.20217751e-01 -1.14159899e+00  1.20217751e-01  6.81952706e-02
 1.20256813e-01  1.20256813e-01  1.20256813e-01 -1.18384014e+00  1.20256813e-01  8.03306786e-02
 1.20295876e-01  1.20295876e-01  1.20295876e-01 -1.22530186e+00  1.20295876e-01  9.24176985e-02
 1.20334938e-01  1.20334938e-01  1.20334938e-01 -1.26675373e+00  1.20334938e-01  1.04449049e-01
 1.20374001e-01  1.20374001e-01  1.20374001e-01 -1.30738301e+00  1.20374001e-01  1.16417484e-01
 1.20413063e-01  1.20413063e-01  1.20413063e-01 -1.34796144e+00  1.20413063e-01  1.28315793e-01
 1.20452126e-01  1.20452126e-01  1.20452126e-01 -1.38767623e+00  1.20452126e-01  1.40136810e-01
 1.20491188e-01  1.20491188e-01  1.20491188e-01 -1.42730097e+00  1.20491188e-01  1.51873413e-01
 1.20530251e-01  1.20530251e-01  1.20530251e-01 -1.46602315e+00  1.20530251e-01  1.63518533e-01
 1.20569313e-01  1.20569313e-01  1.20569313e-01 -1.50461798e+00  1.20569313e-01  1.75065156e-01
 1.20608376e-01  1.20608376e-01  1.20608376e-01 -1.54227344e+00  1.20608376e-01  1.86506327e-01
 1.20647438e-01  1.20647438e-01  1.20647438e-01 -1.57976621e+00  1.20647438e-01  1.97835153e-01
 1.20686501e-01  1.20686501e-01  1.20686501e-01 -1.61628492e+00  1.20686501e-01  2.09044810e-01
 1.20725563e-01  1.20725563e-01  1.20725563e-01 -1.65260752e+00  1.20725563e-01  2.20128547e-01
 1.20764626e-01  1.20764626e-01  1.20764626e-01 -1.68792342e+00  1.20764626e-01  2.31079686e-01
 1.20803688e-01  1.20803688e-01  1.20803688e-01 -1.72301176e+00  1.20803688e-01  2.41891632e-01
 1.20842751e-01  1.20842751e-01  1.20842751e-01 -1.75706276e+00  1.20842751e-01  2.52557871e-01
 1.20881813e-01  1.20881813e-01  1.20881813e-01 -1.79085664e+00  1.20881813e-01  2.63071978e-01
 1.20920876e-01  1.20920876e-01  1.20920876e-01 -1.82358449e+00  1.20920876e-01  2.73427621e-01
 1.20959938e-01  1.20959938e-01  1.20959938e-01 -1.85602754e+00  1.20959938e-01  2.83618562e-01
 1.20999001e-01  1.20999001e-01  1.20999001e-01 -1.88737777e+00  1.20999001e-01  2.93638661e-01
 1.21038063e-01  1.21038063e-01  1.21038063e-01 -1.91841734e+00  1.21038063e-01  3.03481883e-01
