frequency_hz,vin_pp_v,load_pp_v,load_min_v,load_max_v,amp_out_pp_v
1000.0,0.002,0.1191963932,-0.0592990698,0.0598973234,0.11876540999999996
10000.0,0.002,0.0805609825,-0.0393798,0.0411811825,0.08057552000000001
