frequency_hz,vin_rms_v,vout_rms_v,fundamental_rms_v,gain_v_v,power_w,thd_percent
20.0,0.35349587543753075,0.9053043113198472,0.8803465912154598,2.5610038878086745,0.10244698701178787,23.887363712463586
50.0,0.3534958754375776,0.9049433710733723,0.8788120630560615,2.559982828521496,0.1023653131062049,24.47908659100268
100.0,0.3534958754375776,0.9070774878649377,0.8810190842968313,2.5660200044543795,0.10284869612392078,24.394239256551984
200.0,0.3534958754375776,0.9233633279368881,0.8992240621603009,2.612090810943397,0.10657497942233565,23.174341801562285
500.0,0.3534958754375745,0.9504675706738398,0.9303134014422101,2.688765659563367,0.11292357536282883,20.783516028897285
1000.0,0.3534958754375745,0.9583663165242443,0.9416395125336555,2.7111103215502346,0.114808249581031,18.80509287021962
2000.0,0.35300169566716494,0.9342374136961683,0.9208124621008753,2.646552198369703,0.10909994314371319,15.965493216524013
5000.0,0.3536577530016732,0.7839082259402338,0.7783612294555585,2.2165729982922926,0.07681401333709557,10.099471230266074
10000.0,0.35393725522017094,0.5379140230138195,0.5354863915865126,1.5198005157134522,0.036168937019363995,8.901628743818874
20000.0,0.35349587543760574,0.298001874972909,0.2964369730684625,0.8430137257018949,0.011100639685921159,10.448639111065408
