 5.00000000e+00  5.00000000e+00  0.00000000e+00  5.00000000e+00  9.27622560e+00  5.00000000e+00 -2.24532372e+00
 5.14606897e+00  5.14606897e+00  0.00000000e+00  5.14606897e+00  9.36003833e+00  5.14606897e+00 -2.26817053e+00
 5.29640516e+00  5.29640516e+00  0.00000000e+00  5.29640516e+00  9.43988294e+00  5.29640516e+00 -2.29055855e+00
 5.45113324e+00  5.45113324e+00  0.00000000e+00  5.45113324e+00  9.51591685e+00  5.45113324e+00 -2.31248862e+00
 5.61038152e+00  5.61038152e+00  0.00000000e+00  5.61038152e+00  9.58829392e+00  5.61038152e+00 -2.33396220e+00
 5.77428205e+00  5.77428205e+00  0.00000000e+00  5.77428205e+00  9.65716426e+00  5.77428205e+00 -2.35498136e+00
 5.94297073e+00  5.94297073e+00  0.00000000e+00  5.94297073e+00  9.72267414e+00  5.94297073e+00 -2.37554872e+00
 6.11658745e+00  6.11658745e+00  0.00000000e+00  6.11658745e+00  9.78496585e+00  6.11658745e+00 -2.39566744e+00
 6.29527617e+00  6.29527617e+00  0.00000000e+00  6.29527617e+00  9.84417764e+00  6.29527617e+00 -2.41534113e+00
 6.47918506e+00  6.47918506e+00  0.00000000e+00  6.47918506e+00  9.90044363e+00  6.47918506e+00 -2.43457388e+00
 6.66846663e+00  6.66846663e+00  0.00000000e+00  6.66846663e+00  9.95389381e+00  6.66846663e+00 -2.45337015e+00
 6.86327784e+00  6.86327784e+00  0.00000000e+00  6.86327784e+00  1.00046539e+01  6.86327784e+00 -2.47173480e+00
 7.06378021e+00  7.06378021e+00  0.00000000e+00  7.06378021e+00  1.00528456e+01  7.06378021e+00 -2.48967302e+00
 7.27014003e+00  7.27014003e+00  0.00000000e+00  7.27014003e+00  1.00985863e+01  7.27014003e+00 -2.50719031e+00
 7.48252839e+00  7.48252839e+00  0.00000000e+00  7.48252839e+00  1.01419891e+01  7.48252839e+00 -2.52429244e+00
 7.70112143e+00  7.70112143e+00  0.00000000e+00  7.70112143e+00  1.01831633e+01  7.70112143e+00 -2.54098543e+00
 7.92610040e+00  7.92610040e+00  0.00000000e+00  7.92610040e+00  1.02222137e+01  7.92610040e+00 -2.55727551e+00
 8.15765186e+00  8.15765186e+00  0.00000000e+00  8.15765186e+00  1.02592415e+01  8.15765186e+00 -2.57316911e+00
 8.39596781e+00  8.39596781e+00  0.00000000e+00  8.39596781e+00  1.02943435e+01  8.39596781e+00 -2.58867281e+00
 8.64124588e+00  8.64124588e+00  0.00000000e+00  8.64124588e+00  1.03276130e+01  8.64124588e+00 -2.60379333e+00
 8.89368944e+00  8.89368944e+00  0.00000000e+00  8.89368944e+00  1.03591393e+01  8.89368944e+00 -2.61853752e+00
 9.15350785e+00  9.15350785e+00  0.00000000e+00  9.15350785e+00  1.03890079e+01  9.15350785e+00 -2.63291231e+00
 9.42091653e+00  9.42091653e+00  0.00000000e+00  9.42091653e+00  1.04173009e+01  9.42091653e+00 -2.64692472e+00
 9.69613724e+00  9.69613724e+00  0.00000000e+00  9.69613724e+00  1.04440966e+01  9.69613724e+00 -2.66058179e+00
 9.97939818e+00  9.97939818e+00  0.00000000e+00  9.97939818e+00  1.04694701e+01  9.97939818e+00 -2.67389064e+00
