 1.20010937e-02  1.20010937e-02  1.20010937e-02 -6.18375169e-05  1.20010937e-02  6.87217983e-06 
 1.20050000e-02  1.20050000e-02  1.20050000e-02 -1.34389721e-03  1.20050000e-02  3.14107591e-05 
 1.20089062e-02  1.20089062e-02  1.20089062e-02 -2.62556348e-03  1.20089062e-02  5.59304176e-05 
 1.20128125e-02  1.20128125e-02  1.20128125e-02 -3.90606008e-03  1.20128125e-02  8.04163858e-05 
 1.20167187e-02  1.20167187e-02  1.20167187e-02 -5.18461053e-03  1.20167187e-02  1.04853914e-04 
 1.20206250e-02  1.20206250e-02  1.20206250e-02 -6.46043842e-03  1.20206250e-02  1.29228282e-04 
 1.20245312e-02  1.20245312e-02  1.20245312e-02 -7.73276808e-03  1.20245312e-02  1.53524808e-04 
 1.20284375e-02  1.20284375e-02  1.20284375e-02 -9.00082487e-03  1.20284375e-02  1.77728857e-04 
 1.20323437e-02  1.20323437e-02  1.20323437e-02 -1.02638359e-02  1.20323437e-02  2.01825848e-04 
 1.20362500e-02  1.20362500e-02  1.20362500e-02 -1.15210302e-02  1.20362500e-02  2.25801267e-04 
 1.20401562e-02  1.20401562e-02  1.20401562e-02 -1.27716395e-02  1.20401562e-02  2.49640671e-04 
 1.20440625e-02  1.20440625e-02  1.20440625e-02 -1.40148987e-02  1.20440625e-02  2.73329702e-04 
 1.20479687e-02  1.20479687e-02  1.20479687e-02 -1.52500462e-02  1.20479687e-02  2.96854089e-04 
 1.20518750e-02  1.20518750e-02  1.20518750e-02 -1.64763245e-02  1.20518750e-02  3.20199662e-04 
 1.20557812e-02  1.20557812e-02  1.20557812e-02 -1.76929804e-02  1.20557812e-02  3.43352358e-04 
 1.20596875e-02  1.20596875e-02  1.20596875e-02 -1.88992662e-02  1.20596875e-02  3.66298232e-04 
 1.20635937e-02  1.20635937e-02  1.20635937e-02 -2.00944395e-02  1.20635937e-02  3.89023462e-04 
 1.20675000e-02  1.20675000e-02  1.20675000e-02 -2.12777638e-02  1.20675000e-02  4.11514359e-04 
 1.20714062e-02  1.20714062e-02  1.20714062e-02 -2.24485094e-02  1.20714062e-02  4.33757374e-04 
 1.20753125e-02  1.20753125e-02  1.20753125e-02 -2.36059532e-02  1.20753125e-02  4.55739111e-04 
 1.20792187e-02  1.20792187e-02  1.20792187e-02 -2.47493801e-02  1.20792187e-02  4.77446327e-04 
 1.20831250e-02  1.20831250e-02  1.20831250e-02 -2.58780824e-02  1.20831250e-02  4.98865947e-04 
 1.20870312e-02  1.20870312e-02  1.20870312e-02 -2.69913611e-02  1.20870312e-02  5.19985070e-04 
 1.20909375e-02  1.20909375e-02  1.20909375e-02 -2.80885262e-02  1.20909375e-02  5.40790972e-04 
 1.20948437e-02  1.20948437e-02  1.20948437e-02 -2.91688967e-02  1.20948437e-02  5.61271123e-04 
 1.20987500e-02  1.20987500e-02  1.20987500e-02 -3.02318018e-02  1.20987500e-02  5.81413184e-04 
 1.21026562e-02  1.21026562e-02  1.21026562e-02 -3.12765806e-02  1.21026562e-02  6.01205024e-04 
 1.21065625e-02  1.21065625e-02  1.21065625e-02 -3.23025832e-02  1.21065625e-02  6.20634721e-04 
 1.21104687e-02  1.21104687e-02  1.21104687e-02 -3.33091707e-02  1.21104687e-02  6.39690571e-04 
 1.21143750e-02  1.21143750e-02  1.21143750e-02 -3.42957158e-02  1.21143750e-02  6.58361094e-04 
 1.21182812e-02  1.21182812e-02  1.21182812e-02 -3.52616032e-02  1.21182812e-02  6.76635046e-04 
 1.21221875e-02  1.21221875e-02  1.21221875e-02 -3.62062302e-02  1.21221875e-02  6.94501418e-04 
 1.21260937e-02  1.21260937e-02  1.21260937e-02 -3.71290068e-02  1.21260937e-02  7.11949449e-04 
 1.21300000e-02  1.21300000e-02  1.21300000e-02 -3.80293563e-02  1.21300000e-02  7.28968627e-04 
 1.21339062e-02  1.21339062e-02  1.21339062e-02 -3.89067156e-02  1.21339062e-02  7.45548703e-04 
 1.21378125e-02  1.21378125e-02  1.21378125e-02 -3.97605358e-02  1.21378125e-02  7.61679687e-04 
 1.21417187e-02  1.21417187e-02  1.21417187e-02 -4.05902823e-02  1.21417187e-02  7.77351864e-04 
 1.21456250e-02  1.21456250e-02  1.21456250e-02 -4.13954352e-02  1.21456250e-02  7.92555794e-04 
 1.21495312e-02  1.21495312e-02  1.21495312e-02 -4.21754901e-02  1.21495312e-02  8.07282318e-04 
 1.21534375e-02  1.21534375e-02  1.21534375e-02 -4.29299579e-02  1.21534375e-02  8.21522564e-04 
 1.21573437e-02  1.21573437e-02  1.21573437e-02 -4.36583652e-02  1.21573437e-02  8.35267957e-04 
 1.21612500e-02  1.21612500e-02  1.21612500e-02 -4.43602551e-02  1.21612500e-02  8.48510215e-04 
 1.21651562e-02  1.21651562e-02  1.21651562e-02 -4.50351869e-02  1.21651562e-02  8.61241362e-04 
 1.21690625e-02  1.21690625e-02  1.21690625e-02 -4.56827370e-02  1.21690625e-02  8.73453730e-04 
 1.21729687e-02  1.21729687e-02  1.21729687e-02 -4.63024987e-02  1.21729687e-02  8.85139962e-04 
 1.21768750e-02  1.21768750e-02  1.21768750e-02 -4.68940828e-02  1.21768750e-02  8.96293019e-04 
 1.21807812e-02  1.21807812e-02  1.21807812e-02 -4.74571176e-02  1.21807812e-02  9.06906182e-04 
 1.21846875e-02  1.21846875e-02  1.21846875e-02 -4.79912495e-02  1.21846875e-02  9.16973059e-04 
 1.21885937e-02  1.21885937e-02  1.21885937e-02 -4.84961430e-02  1.21885937e-02  9.26487586e-04 
 1.21925000e-02  1.21925000e-02  1.21925000e-02 -4.89714810e-02  1.21925000e-02  9.35444031e-04 
 1.21964062e-02  1.21964062e-02  1.21964062e-02 -4.94169650e-02  1.21964062e-02  9.43836999e-04 
 1.22003125e-02  1.22003125e-02  1.22003125e-02 -4.98323154e-02  1.22003125e-02  9.51661436e-04 
 1.22042187e-02  1.22042187e-02  1.22042187e-02 -5.02172717e-02  1.22042187e-02  9.58912627e-04 
 1.22081250e-02  1.22081250e-02  1.22081250e-02 -5.05715923e-02  1.22081250e-02  9.65586206e-04 
 1.22120312e-02  1.22120312e-02  1.22120312e-02 -5.08950552e-02  1.22120312e-02  9.71678151e-04 
 1.22159375e-02  1.22159375e-02  1.22159375e-02 -5.11874580e-02  1.22159375e-02  9.77184793e-04 
 1.22198437e-02  1.22198437e-02  1.22198437e-02 -5.14486179e-02  1.22198437e-02  9.82102816e-04 
 1.22237500e-02  1.22237500e-02  1.22237500e-02 -5.16783717e-02  1.22237500e-02  9.86429257e-04 
 1.22276562e-02  1.22276562e-02  1.22276562e-02 -5.18765763e-02  1.22276562e-02  9.90161510e-04 
 1.22315625e-02  1.22315625e-02  1.22315625e-02 -5.20431087e-02  1.22315625e-02  9.93297327e-04 
 1.22354687e-02  1.22354687e-02  1.22354687e-02 -5.21778657e-02  1.22354687e-02  9.95834818e-04 
 1.22393750e-02  1.22393750e-02  1.22393750e-02 -5.22807644e-02  1.22393750e-02  9.97772456e-04 
 1.22432812e-02  1.22432812e-02  1.22432812e-02 -5.23517421e-02  1.22432812e-02  9.99109073e-04 
 1.22471875e-02  1.22471875e-02  1.22471875e-02 -5.23907564e-02  1.22471875e-02  9.99843864e-04 
