frequency_hz,vin_pp_v,load_pp_v,load_min_v,load_max_v,amp_out_pp_v
1000.0,1.0,8.04670444,-2.98167283,5.06503161,8.0209977
10000.0,1.0,7.805030589999999,-1.32169301,6.48333758,7.804063129999999
