frequency_hz,vin_peak_v,vin_swing_mvpp,vin_rms_v,vout_rms_v,fundamental_rms_v,gain_v_v,power_w,thd_percent,load_pp_v,load_min_v,load_max_v
100.0,0.01,20.0,0.007069917509199366,0.03679768592833015,0.036780349832470444,5.204825357643715,0.00016925871121000336,2.48489259247993,0.1044643299,-0.0509899124,0.0534744175
100.0,0.025,50.0,0.017674793778913216,0.0942929879479297,0.09405257084964977,5.334884758905943,0.001111395947018552,6.92072305108709,0.27152003199999997,-0.126344378,0.145175654
100.0,0.05,100.0,0.0353495875437579,0.21243116211502067,0.20790874292824374,6.009438210617317,0.005640874829692274,20.834907013334178,0.666639169,-0.262832558,0.403806611
100.0,0.1,200.0,0.07069917509199372,0.6319164430381472,0.5380589479985236,8.938102067186751,0.049914798872747995,60.14482722897816,2.377823686,-0.597279436,1.78054425
100.0,0.25,500.0,0.17676362439166743,1.7269007418256759,1.438050936015463,9.76954816223536,0.3727732715147587,63.648962368317704,5.36280182,-1.54124891,3.82155291
100.0,0.5,1000.0,0.3533021494153149,2.296397534692558,2.1788002310923638,6.499811955553911,0.6591802046677573,28.92584646564591,5.96762734,-2.53737694,3.4302504
100.0,1.0,2000.0,0.7036830336970653,2.8746524023020488,2.7664368588353194,4.085152355029755,1.0329533042576176,22.06951180292969,7.322023339999999,-3.76600659,3.55601675
100.0,2.5,5000.0,1.757612962226094,3.492299390546959,3.175485915432323,1.9869558688983542,1.5245193791518326,42.01483718867351,8.64523874,-5.39910381,3.24613493
500.0,0.01,20.0,0.007069917509198994,0.03674920549733419,0.036731539111639705,5.197968073816718,0.00016881301308566216,2.502713563936794,0.1045856224,-0.0499693652,0.0546162572
500.0,0.025,50.0,0.017674793778914663,0.0952583974899832,0.0949869415367337,5.389505455142721,0.0011342702865449548,7.299965021493919,0.276289357,-0.121739652,0.154549705
500.0,0.05,100.0,0.035349587543757596,0.23830503961017194,0.22927011470366168,6.741381050491333,0.007098661487950702,27.74116549684545,0.832783788,-0.251579337,0.581204451
500.0,0.1,200.0,0.0706991750919899,0.7283472540038539,0.6003723543837913,10.302061559504311,0.06631121530186931,65.56071157730426,3.133097458,-0.595477638,2.53761982
500.0,0.25,500.0,0.1767233647439948,2.115039044010534,1.882812519931453,11.968078171635224,0.5591737697111243,45.68099218466592,5.54897654,-1.40134608,4.14763046
500.0,0.5,1000.0,0.35347771640037123,2.5710182618709845,2.448236730448075,7.273494601167125,0.8262668628592623,24.54832720033915,7.2476362299999995,-2.45988969,4.78774654
500.0,1.0,2000.0,0.7069982062001925,3.186720177321243,3.0577696626344775,4.507394996726337,1.2693981860682917,25.288189239785314,8.29573014,-3.46067583,4.83505431
500.0,2.5,5000.0,1.7666752861917356,3.60035804856498,3.2262269796239904,2.0379285750501164,1.6203222597333289,46.80704012335515,9.58845818,-4.86862875,4.71982943
1000.0,0.01,20.0,0.007069917509198994,0.03633518030240282,0.03631836955846285,5.139406542597626,0.00016503066595101524,2.4779391363708445,0.1031908612,-0.0491539935,0.0540368677
1000.0,0.025,50.0,0.017674793778914663,0.09441805277869147,0.09415126722133971,5.341960645183228,0.001114346086314971,7.3048160672052385,0.27258795599999996,-0.118723402,0.153864554
1000.0,0.05,100.0,0.035349587543757596,0.2587786933114655,0.2451856993681283,7.320557644163047,0.008370801513998691,33.151194010458426,0.922837268,-0.239057525,0.683779743
1000.0,0.1,200.0,0.07069917433107172,1.131255286113997,0.8851466861092316,16.00096884889389,0.15996731529510766,76.07645572976267,4.485819629,-0.563390749,3.92242888
1000.0,0.25,500.0,0.1767050950379447,2.321831157383175,2.1260868816096488,13.139582403578105,0.6738624904244117,39.42782261424997,5.76677711,-1.23316953,4.53360758
1000.0,0.5,1000.0,0.35349586012350287,2.7215151371316133,2.5987420336552387,7.698859998475744,0.925830580204563,25.171552445378403,7.2203737199999996,-2.18757294,5.03280078
1000.0,1.0,2000.0,0.7070056458061355,3.3187947296777747,3.1892216961114555,4.694155908604731,1.3767998072171217,24.923708364924053,8.42729595,-3.33454702,5.09274893
1000.0,2.5,5000.0,1.7674794068796833,3.692534115101565,3.3373271030673584,2.0891525529117096,1.7043510238986121,45.057220010490454,9.45335415,-4.55138219,4.90197196
5000.0,0.01,20.0,0.007069917509252998,0.027192683351023653,0.027189086209565675,3.8462518573143596,9.243025347862987e-05,1.6596931268663926,0.07699321540000001,-0.0372121449,0.0397810705
5000.0,0.025,50.0,0.017674793778913227,0.0694417882990264,0.06937189103444504,3.928859887569007,0.00060277024527085,4.513818294013287,0.19771028000000002,-0.090123884,0.107586396
5000.0,0.05,100.0,0.035349587543760705,0.15837103763868685,0.15678643396519104,4.480138203667379,0.0031351731953442956,14.256130419313543,0.471037471,-0.174243084,0.296794387
5000.0,0.1,200.0,0.07071392081699607,1.4304196319963078,1.1682655047114678,20.228260793205898,0.2557625404500566,69.1078699995298,4.974356598,-0.359272278,4.61508432
5000.0,0.25,500.0,0.17675117016670022,2.2747285092649197,2.1031192196099915,12.869665910101435,0.6467987238578254,37.456002034290684,5.625127199,-0.786810729,4.83831647
5000.0,0.5,1000.0,0.3535305299223303,2.57956199742508,2.4648510530018712,7.296574918131689,0.8317675123199585,26.690581259292824,6.91910586,-1.46851804,5.45058782
5000.0,1.0,2000.0,0.7069917203257545,2.9837459829399275,2.8996034511345115,4.220340772258454,1.1128425113387692,20.487599928780632,7.56415026,-2.67560936,4.8885409
5000.0,2.5,5000.0,1.7690373874318197,3.4653189147701586,3.3673490249925115,1.9588726272206698,1.5010543976329787,21.023772353661236,9.09306125,-3.79237756,5.30068369
10000.0,0.01,20.0,0.007069917509252998,0.016892837236582605,0.016894146536500586,2.3893966534225504,3.567099373770898e-05,0.9064729398875226,0.0477900765,-0.0234362816,0.0243537949
10000.0,0.025,50.0,0.017674793778913227,0.042526866820838075,0.04252159097975277,2.4060742859458095,0.00022606680019966228,2.245966122517826,0.120506545,-0.0573539183,0.0631526267
10000.0,0.05,100.0,0.035349587543760705,0.08764645185688939,0.08754447652369762,2.479419363758863,0.0009602375653877537,5.134497891676003,0.250306163,-0.111330576,0.138975587
10000.0,0.1,200.0,0.07069917509252999,0.331795928465573,0.30793409026996443,4.693066475405457,0.013761067268291453,38.74739199393937,1.139572687,-0.186246775,0.953325912
10000.0,0.25,500.0,0.17685050448285572,1.9090315983739141,1.6900206486516947,10.794606461294997,0.4555502054487577,48.9292882327677,5.112717381,-0.230349611,4.88236777
10000.0,0.5,1000.0,0.35366444005495573,2.091428039069314,1.9063244868850915,5.913594362906059,0.5467589053256645,41.435099821315006,5.557271786,-0.661301326,4.89597046
10000.0,1.0,2000.0,0.7069993689306591,2.1465700281679263,1.9104893774931089,3.0361696523359374,0.5759703607286065,48.62276717584791,6.54049076,-1.61767285,4.92281791
10000.0,2.5,5000.0,1.7666046406936102,2.1390236113198307,1.8343555165511105,1.2108105922783041,0.5719277512229662,56.515552170818935,8.5332686,-3.59691229,4.93635631
