frequency_hz,vin_peak_v,vin_swing_mvpp,vin_rms_v,vout_rms_v,fundamental_rms_v,gain_v_v,power_w,thd_percent,load_pp_v,load_min_v,load_max_v,target_power_mw
20.0,0.07421875,148.4375,0.05247204401639932,0.39240745241828834,0.3573900508126768,7.478409880424088,0.0192479510891764,44.5000999475241,1.398891598,-0.407891885,0.990999713,20.0
50.0,0.07421875,148.4375,0.052472044016392334,0.4039384607521096,0.36592777726139064,7.698165152970193,0.02039578500934795,45.859175043396846,1.455815597,-0.417011127,1.03880447,20.0
100.0,0.07421875,148.4375,0.052472044016392334,0.39661326994345625,0.3609760832463349,7.558563371755706,0.01966276073690511,44.59220413924004,1.449480924,-0.421431184,1.02804974,20.0
200.0,0.078125,156.25,0.055233730543522444,0.4118257822604118,0.37427699602645087,7.456055895697757,0.02120005936680001,44.88849896486268,1.513585471,-0.449824111,1.06376136,20.0
500.0,0.06640625,132.8125,0.046948670959187186,0.38380016002125916,0.3459104604489443,8.174888706751664,0.018412820354043017,46.10320991376188,1.575015413,-0.361826913,1.2131885,20.0
1000.0,0.05859375,117.1875,0.04142529790768691,0.38162397090661254,0.3391415658266804,9.212341013383469,0.01820460689631638,49.81925754093546,1.5270153039999999,-0.291710284,1.23530502,20.0
2000.0,0.05859375,117.1875,0.04142529790768691,0.4283893157122124,0.370504628736155,10.341248882913167,0.022939675727047196,56.20121582106552,1.675138404,-0.267306804,1.4078316,20.0
5000.0,0.06640625,132.8125,0.04694867095918717,0.35524289742365345,0.32286989624138585,7.5666230835899215,0.015774689521244046,44.51787094489326,1.297205972,-0.231729522,1.06547645,20.0
10000.0,0.1015625,203.125,0.07180384968887028,0.36699209771640545,0.33639277095302544,5.111036515543398,0.01683539997328596,41.89731231311602,1.2747909099999999,-0.18339888,1.09139203,20.0
20000.0,0.21484375,429.6875,0.15189275899480456,0.40914897119047994,0.36404754041353576,2.693670020204681,0.020925360078278523,48.413437358635406,1.341293785,0.016249465,1.35754325,20.0
20.0,0.1015625,203.125,0.07180384968831237,0.6330784444587784,0.5397065865203096,8.816775802507223,0.05009853960479332,59.9485592781808,2.3239068229999997,-0.584872643,1.73903418,50.0
50.0,0.09765625,195.3125,0.06904216317962773,0.6217533259554718,0.5293726340868898,9.005414913461642,0.0483221497920864,60.2557463775749,2.302423018,-0.575108348,1.72731467,50.0
100.0,0.1015625,203.125,0.07180384968887034,0.6462321457917766,0.5486917840704211,8.999965163315514,0.052201998281830496,60.7635630716062,2.432158842,-0.607904372,1.82425447,50.0
200.0,0.10546875,210.9375,0.07456553621957576,0.6388626695201677,0.5466683384093183,8.567800915947098,0.051018188813304374,58.84437495155446,2.448892296,-0.639113776,1.80977852,50.0
500.0,0.08984375,179.6875,0.06351879012340723,0.617107119124106,0.519382223467892,9.715347504654321,0.04760264955920669,61.311099620638664,2.6435802849999996,-0.525414485,2.1181658,50.0
1000.0,0.07421875,148.4375,0.05247204401639097,0.6483063866756508,0.531777825994259,12.355272199290273,0.0525376463755548,66.91967789220281,2.660651648,-0.394940098,2.26571155,50.0
2000.0,0.06640625,132.8125,0.046948670959187186,0.6360953386799035,0.5200852087368916,13.54874005342698,0.050577159986287645,68.23862667520243,2.473953624,-0.311980294,2.16197333,50.0
5000.0,0.07421875,148.4375,0.052472044016386395,0.6007275037802269,0.5097033519204719,11.448524924865264,0.04510919172475281,60.083476472342745,2.228292629,-0.262361709,1.96593092,50.0
10000.0,0.11328125,226.5625,0.08008890927311893,0.6520721547190473,0.5663374194903866,8.141853355691898,0.05314976186999265,54.5488952360078,2.295984273,-0.160856023,2.13512825,50.0
20000.0,0.24609375,492.1875,0.1739862506155303,0.6430127008945183,0.556799370754082,3.695767330002581,0.051683166688957914,54.735619252699564,2.124107576,0.167034734,2.29114231,50.0
20.0,0.1328125,265.625,0.09389734190581374,0.9045895894941764,0.7430848836319692,9.633814665398615,0.10228529067765534,67.9316740532127,3.301334477,-0.782830907,2.51850357,100.0
50.0,0.12890625,257.8125,0.09113565537269176,0.9095830781978711,0.742789354972478,9.980540266904384,0.1034176720179893,69.22268824590776,3.351049407,-0.782452947,2.56859646,100.0
100.0,0.12890625,257.8125,0.09113565537269176,0.8926982079787327,0.7317939489919034,9.795268430650077,0.09961376131605508,68.2941927433742,3.344414873,-0.792316063,2.55209881,100.0
200.0,0.13671875,273.4375,0.0966590284658838,0.8980528672931094,0.7409893836361653,9.290936206855015,0.1008123690566719,66.64683779944826,3.432459101,-0.851483161,2.58097594,100.0
500.0,0.11328125,226.5625,0.0800889092730276,0.8906581467001877,0.7175817759716357,11.120867480713015,0.09915899178542664,69.98475101598851,3.83907856,-0.68581102,3.15326754,100.0
1000.0,0.08984375,179.6875,0.06351879012340723,0.9273700787081943,0.7344947470425579,14.59993297898869,0.10750190786040531,73.84969097897174,3.7404240730000002,-0.498230373,3.2421937,100.0
2000.0,0.07421875,148.4375,0.05247204401639097,0.8504321187579219,0.6776873354987625,16.207337348860815,0.09040434857688602,73.60304797013572,3.22986343,-0.35741347,2.87244996,100.0
5000.0,0.08203125,164.0625,0.057995417070082704,0.8619164022168678,0.7118210204353411,14.861801945062531,0.09286248555130869,66.10122856863376,3.139371663,-0.292753393,2.84661827,100.0
10000.0,0.125,250.0,0.08837396886380647,0.9155934047518091,0.7830914430170933,10.360442294527184,0.10478891035312625,58.5253201991322,3.1652002319999997,-0.141848782,3.02335145,100.0
20000.0,2.0730937500000004,4146.187500000001,1.46566021544227,0.8949860174626233,0.8773086290471647,0.610636768353951,0.10012499643170088,20.24387112205594,2.686698973,-3.34965229,-0.662953317,100.0
