 5.00000000e+00  5.00000000e+00  0.00000000e+00  5.00000000e+00  1.53509950e+01  5.00000000e+00 -2.01139772e+00
 5.14606897e+00  5.14606897e+00  0.00000000e+00  5.14606897e+00  1.54879543e+01  5.14606897e+00 -2.03726248e+00
 5.29640516e+00  5.29640516e+00  0.00000000e+00  5.29640516e+00  1.56194844e+01  5.29640516e+00 -2.06278081e+00
 5.45113324e+00  5.45113324e+00  0.00000000e+00  5.45113324e+00  1.57457229e+01  5.45113324e+00 -2.08794340e+00
 5.61038152e+00  5.61038152e+00  0.00000000e+00  5.61038152e+00  1.58668096e+01  5.61038152e+00 -2.11274175e+00
 5.77428205e+00  5.77428205e+00  0.00000000e+00  5.77428205e+00  1.59828857e+01  5.77428205e+00 -2.13716814e+00
 5.94297073e+00  5.94297073e+00  0.00000000e+00  5.94297073e+00  1.60940940e+01  5.94297073e+00 -2.16121566e+00
 6.11658745e+00  6.11658745e+00  0.00000000e+00  6.11658745e+00  1.62005780e+01  6.11658745e+00 -2.18487815e+00
 6.29527617e+00  6.29527617e+00  0.00000000e+00  6.29527617e+00  1.63024815e+01  6.29527617e+00 -2.20815024e+00
 6.47918506e+00  6.47918506e+00  0.00000000e+00  6.47918506e+00  1.63999485e+01  6.47918506e+00 -2.23102733e+00
 6.66846663e+00  6.66846663e+00  0.00000000e+00  6.66846663e+00  1.64931230e+01  6.66846663e+00 -2.25350555e+00
 6.86327784e+00  6.86327784e+00  0.00000000e+00  6.86327784e+00  1.65821477e+01  6.86327784e+00 -2.27558175e+00
 7.06378021e+00  7.06378021e+00  0.00000000e+00  7.06378021e+00  1.66671649e+01  7.06378021e+00 -2.29725351e+00
 7.27014003e+00  7.27014003e+00  0.00000000e+00  7.27014003e+00  1.67483154e+01  7.27014003e+00 -2.31851908e+00
 7.48252839e+00  7.48252839e+00  0.00000000e+00  7.48252839e+00  1.68257381e+01  7.48252839e+00 -2.33937737e+00
 7.70112143e+00  7.70112143e+00  0.00000000e+00  7.70112143e+00  1.68995706e+01  7.70112143e+00 -2.35982792e+00
 7.92610040e+00  7.92610040e+00  0.00000000e+00  7.92610040e+00  1.69699478e+01  7.92610040e+00 -2.37987088e+00
 8.15765186e+00  8.15765186e+00  0.00000000e+00  8.15765186e+00  1.70370027e+01  8.15765186e+00 -2.39950699e+00
